Token ID,Left hand Rarity (min),Left hand Rarity (avg),Left hand Rarity (weighted),Right hand Rarity (min),Right hand Rarity (avg),Right hand Rarity (weighted),Shoes Rarity (min),Shoes Rarity (avg),Shoes Rarity (weighted),Hat Rarity (min),Hat Rarity (avg),Hat Rarity (weighted),Glasses Rarity (min),Glasses Rarity (avg),Glasses Rarity (weighted),Accessories Rarity (min),Accessories Rarity (avg),Accessories Rarity (weighted),# of Accessoriess,Top Rarity (min),Top Rarity (avg),Top Rarity (weighted),# of Tops,Bottom Rarity (min),Bottom Rarity (avg),Bottom Rarity (weighted),# of Bottoms,Body Rarity (min),Body Rarity (avg),Body Rarity (weighted),# of Bodys,Hair Rarity (min),Hair Rarity (avg),Hair Rarity (weighted),Mouth Rarity (min),Mouth Rarity (avg),Mouth Rarity (weighted),Beard Rarity (min),Beard Rarity (avg),Beard Rarity (weighted),Eyes Rarity (min),Eyes Rarity (avg),Eyes Rarity (weighted),Skin Rarity (min),Skin Rarity (avg),Skin Rarity (weighted),Niftiness,Power,Swag,Wealth,Empathy,Health,Total Skills,Skill Tier,Skill Rarity,Rarity (min),Rarity (avg),Rarity (weighted)
299,0.1923828125,0.1923828125,0.1923828125,0.07421875,0.07421875,0.07421875,0.111328125,0.111328125,0.111328125,0.1962890625,0.1962890625,0.1962890625,0.2958984375,0.2958984375,0.2958984375,0.03125,0.03125,0.02423095703125,1,0.0224609375,0.0224609375,0.02059650421142578,1,0.01953125,0.01953125,0.017681121826171875,1,0.0068359375,0.0404052734375,2.002716064453125e-05,8,0.1875,0.1875,0.1875,0.2255859375,0.2255859375,0.2255859375,0.2783203125,0.2783203125,0.2783203125,0.2294921875,0.2294921875,0.2294921875,0.0927734375,0.0927734375,0.0927734375,0,1,96,66,24,26,213,ordinary,0.845703125,1.833991355526327e-15,1.0840198904985968e-14,3.4584742086259623e-18
300,0.1923828125,0.1923828125,0.1923828125,0.1826171875,0.1826171875,0.1826171875,0.0634765625,0.0634765625,0.0634765625,0.0341796875,0.0341796875,0.0341796875,0.2958984375,0.2958984375,0.2958984375,0.1298828125,0.1298828125,0.10070991516113281,1,0.021484375,0.021484375,0.019701004028320312,1,0.068359375,0.068359375,0.06188392639160156,1,0.201171875,0.201171875,0.18034744262695312,1,0.1875,0.1875,0.1875,0.2255859375,0.2255859375,0.2255859375,0.2783203125,0.2783203125,0.2783203125,0.2294921875,0.2294921875,0.2294921875,0.1083984375,0.1083984375,0.1083984375,31,90,6,50,19,33,229,ordinary,0.845703125,2.143576051910453e-13,2.143576051910453e-13,1.2369369981112586e-13
301,0.0859375,0.0859375,0.0859375,0.052734375,0.052734375,0.052734375,0.0654296875,0.0654296875,0.0654296875,0.0625,0.0625,0.0625,0.140625,0.140625,0.140625,0.080078125,0.0947265625,0.0093841552734375,2,0.015625,0.03369140625,0.0010223388671875,2,0.01953125,0.01953125,0.017681121826171875,1,0.08203125,0.08203125,0.07353973388671875,1,0.1875,0.1875,0.1875,0.2255859375,0.2255859375,0.2255859375,0.0078125,0.0078125,0.0078125,0.2578125,0.2578125,0.2578125,0.1533203125,0.1533203125,0.1533203125,88,88,70,34,59,58,397,silver,0.126953125,8.663384606260883e-18,2.2097573616503085e-17,5.390961529051304e-20
302,0.01953125,0.01953125,0.01953125,0.04296875,0.04296875,0.04296875,0.0185546875,0.0185546875,0.0185546875,0.0146484375,0.0146484375,0.0146484375,0.041015625,0.041015625,0.041015625,0.1025390625,0.1025390625,0.07950782775878906,1,0.025390625,0.025390625,0.023283004760742188,1,0.0380859375,0.0380859375,0.034478187561035156,1,0.0888671875,0.0888671875,0.07966804504394531,1,0.0166015625,0.0166015625,0.0166015625,0.2021484375,0.2021484375,0.2021484375,0.056640625,0.056640625,0.056640625,0.2578125,0.2578125,0.2578125,0.1533203125,0.1533203125,0.1533203125,13,79,60,54,25,25,256,ordinary,0.845703125,5.238595325113312e-19,5.238595325113312e-19,3.0228982871824064e-19
303,0.0859375,0.0859375,0.0859375,0.052734375,0.052734375,0.052734375,0.0146484375,0.0146484375,0.0146484375,0.013671875,0.013671875,0.013671875,0.072265625,0.072265625,0.072265625,0.080078125,0.080078125,0.062091827392578125,1,0.0029296875,0.0029296875,0.0026865005493164062,1,0.0390625,0.0390625,0.03536224365234375,1,0.0078125,0.0078125,0.0070037841796875,1,0.017578125,0.017578125,0.017578125,0.0615234375,0.0615234375,0.0615234375,0.0068359375,0.0068359375,0.0068359375,0.2578125,0.2578125,0.2578125,0.0927734375,0.0927734375,0.0927734375,63,14,66,22,0,68,233,ordinary,0.845703125,7.022143513405615e-22,7.022143513405615e-22,4.0520834845290765e-22
304,0.166015625,0.166015625,0.166015625,0.0341796875,0.0341796875,0.0341796875,0.0205078125,0.0205078125,0.0205078125,0.0810546875,0.0810546875,0.0810546875,0.140625,0.140625,0.140625,0.0283203125,0.0654296875,0.00331878662109375,2,0.0078125,0.017252604166666668,8.392333984375e-05,3,0.0068359375,0.0068359375,0.006188392639160156,1,0.060546875,0.060546875,0.054279327392578125,1,0.0224609375,0.0224609375,0.0224609375,0.0595703125,0.0595703125,0.0595703125,0.013671875,0.013671875,0.013671875,0.1064453125,0.1064453125,0.1064453125,0.08984375,0.08984375,0.08984375,50,11,49,47,31,80,268,ordinary,0.845703125,1.7971036809929682e-20,9.168843636790276e-20,1.835987219653358e-23
305,0.166015625,0.166015625,0.166015625,0.107421875,0.107421875,0.107421875,0.111328125,0.111328125,0.111328125,0.03125,0.03125,0.03125,0.041015625,0.041015625,0.041015625,0.03125,0.03125,0.02423095703125,1,0.0107421875,0.0107421875,0.009850502014160156,1,0.0263671875,0.0263671875,0.02386951446533203,1,0.0224609375,0.0224609375,0.020135879516601562,1,0.017578125,0.017578125,0.017578125,0.2021484375,0.2021484375,0.2021484375,0.0087890625,0.0087890625,0.0087890625,0.1064453125,0.1064453125,0.1064453125,0.037109375,0.037109375,0.037109375,64,12,83,48,87,3,297,ordinary,0.845703125,5.2782989896218406e-20,5.2782989896218406e-20,3.045809035577559e-20
306,0.033203125,0.033203125,0.033203125,0.0205078125,0.0205078125,0.0205078125,0.111328125,0.111328125,0.111328125,0.1962890625,0.1962890625,0.1962890625,0.2958984375,0.2958984375,0.2958984375,0.0283203125,0.05224609375,0.00331878662109375,2,0.0126953125,0.027018229166666668,0.00013637542724609375,3,0.068359375,0.068359375,0.06188392639160156,1,0.201171875,0.201171875,0.18034744262695312,1,0.0234375,0.0234375,0.0234375,0.2021484375,0.2021484375,0.2021484375,0.0048828125,0.0048828125,0.0048828125,0.1064453125,0.1064453125,0.1064453125,0.1083984375,0.1083984375,0.1083984375,55,88,59,10,1,0,213,ordinary,0.845703125,4.914371348022093e-18,1.9294664872583642e-17,5.020702524305002e-21
307,0.1005859375,0.1005859375,0.1005859375,0.0595703125,0.0595703125,0.0595703125,0.0185546875,0.0185546875,0.0185546875,0.1962890625,0.1962890625,0.1962890625,0.140625,0.140625,0.140625,0.1064453125,0.1064453125,0.08253669738769531,1,0.021484375,0.021484375,0.019701004028320312,1,0.068359375,0.068359375,0.06188392639160156,1,0.02734375,0.02734375,0.02451324462890625,1,0.1875,0.1875,0.1875,0.0615234375,0.0615234375,0.0615234375,0.013671875,0.013671875,0.013671875,0.0390625,0.0390625,0.0390625,0.1533203125,0.1533203125,0.1533203125,88,18,2,19,31,94,252,ordinary,0.845703125,1.047930450827767e-17,1.047930450827767e-17,6.047016362778554e-18
308,0.1005859375,0.1005859375,0.1005859375,0.0703125,0.0703125,0.0703125,0.0205078125,0.0205078125,0.0205078125,0.0810546875,0.0810546875,0.0810546875,0.2958984375,0.2958984375,0.2958984375,0.07421875,0.07421875,0.05754852294921875,1,0.02734375,0.029296875,0.001789093017578125,2,0.0341796875,0.0341796875,0.03094196319580078,1,0.0869140625,0.0869140625,0.07791709899902344,1,0.009765625,0.009765625,0.009765625,0.0595703125,0.0595703125,0.0595703125,0.013671875,0.013671875,0.013671875,0.1064453125,0.1064453125,0.1064453125,0.041015625,0.041015625,0.041015625,94,1,40,8,0,89,232,ordinary,0.845703125,6.158736351207502e-19,6.598646090579467e-19,2.5357679401334095e-20
309,0.0458984375,0.0458984375,0.0458984375,0.01171875,0.01171875,0.01171875,0.0634765625,0.0634765625,0.0634765625,0.0810546875,0.0810546875,0.0810546875,0.140625,0.140625,0.140625,0.03125,0.03125,0.02423095703125,1,0.0283203125,0.02978515625,0.0018529891967773438,2,0.046875,0.046875,0.0424346923828125,1,0.068359375,0.068359375,0.061283111572265625,1,0.0205078125,0.0205078125,0.0205078125,0.2021484375,0.2021484375,0.2021484375,0.0107421875,0.0107421875,0.0107421875,0.0390625,0.0390625,0.0390625,0.1533203125,0.1533203125,0.1533203125,18,8,41,6,87,89,249,ordinary,0.845703125,2.489320469002948e-19,2.6180784242962037e-19,1.0249406173683536e-20
